,año,genero_general,frecuencia
0,2010,electrónica,3
1,2010,hip-hop,9
2,2010,indie,2
3,2010,latino,2
4,2010,metal,1
5,2010,pop,25
6,2010,r&b,2
7,2010,rock,3
8,2010,samba,3
9,2011,Otros,1
10,2011,blues,1
11,2011,clásica,1
12,2011,country,1
13,2011,electrónica,4
14,2011,folk,1
15,2011,hip-hop,9
16,2011,indie,2
17,2011,k-pop,1
18,2011,latino,4
19,2011,metal,2
20,2011,pop,11
21,2011,r&b,2
22,2011,reggae,1
23,2011,rock,7
24,2011,samba,2
25,2012,Otros,3
26,2012,blues,2
27,2012,bollywood,3
28,2012,dance,1
29,2012,electrónica,1
30,2012,flamenco,1
31,2012,folk,4
32,2012,hip-hop,9
33,2012,indie,2
34,2012,k-pop,1
35,2012,latino,3
36,2012,metal,1
37,2012,pop,9
38,2012,r&b,3
39,2012,reggae,1
40,2012,rock,6
41,2013,Otros,3
42,2013,dance,2
43,2013,electrónica,4
44,2013,folk,2
45,2013,hip-hop,4
46,2013,indie,12
47,2013,k-pop,2
48,2013,metal,2
49,2013,pop,7
50,2013,rock,10
51,2013,samba,2
52,2014,Otros,1
53,2014,bollywood,1
54,2014,clásica,1
55,2014,dance,7
56,2014,electrónica,6
57,2014,folk,9
58,2014,hip-hop,7
59,2014,indie,2
60,2014,latino,2
61,2014,metal,1
62,2014,pop,11
63,2014,rock,2
64,2015,Otros,2
65,2015,ambient,1
66,2015,blues,1
67,2015,clásica,3
68,2015,country,1
69,2015,electrónica,2
70,2015,folk,1
71,2015,hip-hop,7
72,2015,indie,4
73,2015,k-pop,2
74,2015,pop,18
75,2015,r&b,2
76,2015,reggae,1
77,2015,rock,5
78,2016,Otros,1
79,2016,blues,1
80,2016,bollywood,1
81,2016,electrónica,5
82,2016,folk,1
83,2016,hip-hop,10
84,2016,indie,4
85,2016,k-pop,1
86,2016,latino,1
87,2016,pop,18
88,2016,r&b,5
89,2016,rock,2
90,2017,ambient,1
91,2017,country,1
92,2017,electrónica,4
93,2017,folk,1
94,2017,hip-hop,9
95,2017,indie,6
96,2017,jazz,1
97,2017,k-pop,1
98,2017,latino,2
99,2017,pop,15
100,2017,r&b,1
101,2017,reggae,1
102,2017,rock,6
103,2017,samba,1
104,2018,Otros,1
105,2018,blues,1
106,2018,clásica,1
107,2018,country,2
108,2018,electrónica,2
109,2018,folk,4
110,2018,hip-hop,10
111,2018,indie,6
112,2018,k-pop,1
113,2018,pop,17
114,2018,reggae,1
115,2018,rock,4
116,2019,country,1
117,2019,folk,3
118,2019,hip-hop,13
119,2019,indie,10
120,2019,k-pop,2
121,2019,latino,1
122,2019,metal,1
123,2019,pop,16
124,2019,reggae,1
125,2019,rock,1
126,2019,samba,1
127,2020,africano,1
128,2020,ambient,1
129,2020,country,2
130,2020,electrónica,2
131,2020,flamenco,1
132,2020,folk,4
133,2020,hip-hop,9
134,2020,indie,6
135,2020,k-pop,2
136,2020,pop,11
137,2020,r&b,3
138,2020,reggae,1
139,2020,rock,7
140,2021,Otros,1
141,2021,ambient,2
142,2021,clásica,2
143,2021,electrónica,3
144,2021,hip-hop,7
145,2021,indie,9
146,2021,k-pop,2
147,2021,latino,2
148,2021,pop,18
149,2021,rock,1
150,2021,samba,1
151,2022,Otros,1
152,2022,ambient,2
153,2022,clásica,2
154,2022,country,5
155,2022,electrónica,7
156,2022,folk,6
157,2022,hip-hop,6
158,2022,indie,5
159,2022,k-pop,2
160,2022,pop,10
161,2022,r&b,1
162,2022,rock,3
163,2023,Otros,1
164,2023,blues,3
165,2023,country,3
166,2023,dance,1
167,2023,electrónica,5
168,2023,folk,5
169,2023,hip-hop,7
170,2023,indie,4
171,2023,k-pop,1
172,2023,latino,2
173,2023,metal,1
174,2023,pop,15
175,2023,reggae,1
176,2023,samba,1
177,2024,africano,2
178,2024,blues,1
179,2024,bollywood,1
180,2024,country,2
181,2024,electrónica,1
182,2024,folk,1
183,2024,hip-hop,13
184,2024,indie,14
185,2024,k-pop,2
186,2024,pop,10
187,2024,rock,2
188,2024,samba,1
189,2025,Otros,2
190,2025,blues,1
191,2025,clásica,1
192,2025,country,3
193,2025,electrónica,1
194,2025,folk,1
195,2025,hip-hop,4
196,2025,indie,9
197,2025,jazz,1
198,2025,latino,1
199,2025,metal,1
200,2025,pop,22
201,2025,r&b,2
202,2025,rock,1
