,Year,Genre,Frecuency
0,2010,pop,25
1,2010,hip-hop,9
2,2010,electrónica,3
3,2010,rock,3
4,2010,samba,3
5,2010,indie,2
6,2010,latino,2
7,2010,r&b,2
8,2010,metal,1
9,2011,pop,11
10,2011,hip-hop,9
11,2011,rock,7
12,2011,electrónica,4
13,2011,latino,4
14,2011,indie,2
15,2011,metal,2
16,2011,r&b,2
17,2011,samba,2
18,2011,Otros,1
19,2011,blues,1
20,2011,clásica,1
21,2011,country,1
22,2011,folk,1
23,2011,k-pop,1
24,2011,reggae,1
25,2012,hip-hop,9
26,2012,pop,9
27,2012,rock,6
28,2012,folk,4
29,2012,Otros,3
30,2012,bollywood,3
31,2012,latino,3
32,2012,r&b,3
33,2012,blues,2
34,2012,indie,2
35,2012,dance,1
36,2012,electrónica,1
37,2012,flamenco,1
38,2012,k-pop,1
39,2012,metal,1
40,2012,reggae,1
41,2013,indie,12
42,2013,rock,10
43,2013,pop,7
44,2013,electrónica,4
45,2013,hip-hop,4
46,2013,Otros,3
47,2013,dance,2
48,2013,folk,2
49,2013,k-pop,2
50,2013,metal,2
51,2013,samba,2
52,2014,pop,11
53,2014,folk,9
54,2014,dance,7
55,2014,hip-hop,7
56,2014,electrónica,6
57,2014,indie,2
58,2014,latino,2
59,2014,rock,2
60,2014,Otros,1
61,2014,bollywood,1
62,2014,clásica,1
63,2014,metal,1
64,2015,pop,18
65,2015,hip-hop,7
66,2015,rock,5
67,2015,indie,4
68,2015,clásica,3
69,2015,Otros,2
70,2015,electrónica,2
71,2015,k-pop,2
72,2015,r&b,2
73,2015,ambient,1
74,2015,blues,1
75,2015,country,1
76,2015,folk,1
77,2015,reggae,1
78,2016,pop,18
79,2016,hip-hop,10
80,2016,electrónica,5
81,2016,r&b,5
82,2016,indie,4
83,2016,rock,2
84,2016,Otros,1
85,2016,blues,1
86,2016,bollywood,1
87,2016,folk,1
88,2016,k-pop,1
89,2016,latino,1
90,2017,pop,15
91,2017,hip-hop,9
92,2017,indie,6
93,2017,rock,6
94,2017,electrónica,4
95,2017,latino,2
96,2017,ambient,1
97,2017,country,1
98,2017,folk,1
99,2017,jazz,1
100,2017,k-pop,1
101,2017,r&b,1
102,2017,reggae,1
103,2017,samba,1
104,2018,pop,17
105,2018,hip-hop,10
106,2018,indie,6
107,2018,folk,4
108,2018,rock,4
109,2018,country,2
110,2018,electrónica,2
111,2018,Otros,1
112,2018,blues,1
113,2018,clásica,1
114,2018,k-pop,1
115,2018,reggae,1
116,2019,pop,16
117,2019,hip-hop,13
118,2019,indie,10
119,2019,folk,3
120,2019,k-pop,2
121,2019,country,1
122,2019,latino,1
123,2019,metal,1
124,2019,reggae,1
125,2019,rock,1
126,2019,samba,1
127,2020,pop,11
128,2020,hip-hop,9
129,2020,rock,7
130,2020,indie,6
131,2020,folk,4
132,2020,r&b,3
133,2020,country,2
134,2020,electrónica,2
135,2020,k-pop,2
136,2020,africano,1
137,2020,ambient,1
138,2020,flamenco,1
139,2020,reggae,1
140,2021,pop,18
141,2021,indie,9
142,2021,hip-hop,7
143,2021,electrónica,3
144,2021,ambient,2
145,2021,clásica,2
146,2021,k-pop,2
147,2021,latino,2
148,2021,Otros,1
149,2021,rock,1
150,2021,samba,1
151,2022,pop,10
152,2022,electrónica,7
153,2022,folk,6
154,2022,hip-hop,6
155,2022,country,5
156,2022,indie,5
157,2022,rock,3
158,2022,ambient,2
159,2022,clásica,2
160,2022,k-pop,2
161,2022,Otros,1
162,2022,r&b,1
163,2023,pop,15
164,2023,hip-hop,7
165,2023,electrónica,5
166,2023,folk,5
167,2023,indie,4
168,2023,blues,3
169,2023,country,3
170,2023,latino,2
171,2023,Otros,1
172,2023,dance,1
173,2023,k-pop,1
174,2023,metal,1
175,2023,reggae,1
176,2023,samba,1
177,2024,indie,14
178,2024,hip-hop,13
179,2024,pop,10
180,2024,africano,2
181,2024,country,2
182,2024,k-pop,2
183,2024,rock,2
184,2024,blues,1
185,2024,bollywood,1
186,2024,electrónica,1
187,2024,folk,1
188,2024,samba,1
189,2025,pop,22
190,2025,indie,9
191,2025,hip-hop,4
192,2025,country,3
193,2025,Otros,2
194,2025,r&b,2
195,2025,blues,1
196,2025,clásica,1
197,2025,electrónica,1
198,2025,folk,1
199,2025,jazz,1
200,2025,latino,1
201,2025,metal,1
202,2025,rock,1
