año,genero_general,frecuencia
2010,electrónica,3
2010,hip-hop,9
2010,indie,2
2010,latino,2
2010,metal,1
2010,pop,25
2010,r&b,2
2010,rock,3
2010,samba,3
2011,Otros,1
2011,blues,1
2011,clásica,1
2011,country,1
2011,electrónica,4
2011,folk,1
2011,hip-hop,9
2011,indie,2
2011,k-pop,1
2011,latino,4
2011,metal,2
2011,pop,11
2011,r&b,2
2011,reggae,1
2011,rock,7
2011,samba,2
2012,Otros,3
2012,blues,2
2012,bollywood,3
2012,dance,1
2012,electrónica,1
2012,flamenco,1
2012,folk,4
2012,hip-hop,9
2012,indie,2
2012,k-pop,1
2012,latino,3
2012,metal,1
2012,pop,9
2012,r&b,3
2012,reggae,1
2012,rock,6
2013,Otros,3
2013,dance,2
2013,electrónica,4
2013,folk,2
2013,hip-hop,4
2013,indie,12
2013,k-pop,2
2013,metal,2
2013,pop,7
2013,rock,10
2013,samba,2
2014,Otros,1
2014,bollywood,1
2014,clásica,1
2014,dance,7
2014,electrónica,6
2014,folk,9
2014,hip-hop,7
2014,indie,2
2014,latino,2
2014,metal,1
2014,pop,11
2014,rock,2
2015,Otros,2
2015,ambient,1
2015,blues,1
2015,clásica,3
2015,country,1
2015,electrónica,2
2015,folk,1
2015,hip-hop,7
2015,indie,4
2015,k-pop,2
2015,pop,18
2015,r&b,2
2015,reggae,1
2015,rock,5
2016,Otros,1
2016,blues,1
2016,bollywood,1
2016,electrónica,5
2016,folk,1
2016,hip-hop,10
2016,indie,4
2016,k-pop,1
2016,latino,1
2016,pop,18
2016,r&b,5
2016,rock,2
2017,ambient,1
2017,country,1
2017,electrónica,4
2017,folk,1
2017,hip-hop,9
2017,indie,6
2017,jazz,1
2017,k-pop,1
2017,latino,2
2017,pop,15
2017,r&b,1
2017,reggae,1
2017,rock,6
2017,samba,1
2018,Otros,1
2018,blues,1
2018,clásica,1
2018,country,2
2018,electrónica,2
2018,folk,4
2018,hip-hop,10
2018,indie,6
2018,k-pop,1
2018,pop,17
2018,reggae,1
2018,rock,4
2019,country,1
2019,folk,3
2019,hip-hop,13
2019,indie,10
2019,k-pop,2
2019,latino,1
2019,metal,1
2019,pop,16
2019,reggae,1
2019,rock,1
2019,samba,1
2020,africano,1
2020,ambient,1
2020,country,2
2020,electrónica,2
2020,flamenco,1
2020,folk,4
2020,hip-hop,9
2020,indie,6
2020,k-pop,2
2020,pop,11
2020,r&b,3
2020,reggae,1
2020,rock,7
2021,Otros,1
2021,ambient,2
2021,clásica,2
2021,electrónica,3
2021,hip-hop,7
2021,indie,9
2021,k-pop,2
2021,latino,2
2021,pop,18
2021,rock,1
2021,samba,1
2022,Otros,1
2022,ambient,2
2022,clásica,2
2022,country,5
2022,electrónica,7
2022,folk,6
2022,hip-hop,6
2022,indie,5
2022,k-pop,2
2022,pop,10
2022,r&b,1
2022,rock,3
2023,Otros,1
2023,blues,3
2023,country,3
2023,dance,1
2023,electrónica,5
2023,folk,5
2023,hip-hop,7
2023,indie,4
2023,k-pop,1
2023,latino,2
2023,metal,1
2023,pop,15
2023,reggae,1
2023,samba,1
2024,africano,2
2024,blues,1
2024,bollywood,1
2024,country,2
2024,electrónica,1
2024,folk,1
2024,hip-hop,13
2024,indie,14
2024,k-pop,2
2024,pop,10
2024,rock,2
2024,samba,1
2025,Otros,2
2025,blues,1
2025,clásica,1
2025,country,3
2025,electrónica,1
2025,folk,1
2025,hip-hop,4
2025,indie,9
2025,jazz,1
2025,latino,1
2025,metal,1
2025,pop,22
2025,r&b,2
2025,rock,1
